Year,Month,StartDate,EndDate,DaysInEffect,MinsInEffect,ClosestDistance,MaxSignal,TotalRainfall
2018,9,11/9/2018,13/9/2018,3,2700,150,3,1
2018,9,14/9/2018,17/9/2018,4,4130,100,10,224
2018,10,31/10/2018,2/11/2018,3,2850,270,3,0
2019,7,2/7/2019,3/7/2019,2,805,440,1,52.5
2019,7,30/7/2019,2/8/2019,4,3900,310,8,281
2019,8,24/8/2019,25/8/2019,2,1720,280,1,52.5
2019,8,28/8/2019,29/8/2019,2,1300,560,1,10
2019,9,1/9/2019,3/9/2019,3,2920,330,3,73.5
2020,6,12/6/2020,14/6/2020,3,2460,190,3,17
2020,7,31/7/2020,1/8/2020,2,1595,550,3,89
2020,8,18/8/2020,19/8/2020,2,2020,80,9,117.5
2020,10,11/10/2020,14/10/2020,4,3240,440,8,22
2020,10,22/10/2020,24/10/2020,3,2370,490,3,0
2021,6,11/6/2021,12/6/2021,2,1315,480,1,42.5
2021,7,6/7/2021,7/7/2021,2,2035,610,1,18.5
2021,7,6/7/2021,7/7/2021,2,2035,570,1,18.5
2021,7,18/7/2021,20/7/2021,3,2760,180,3,150.5
2021,8,2/8/2021,4/8/2021,3,2680,110,3,97
2021,10,8/10/2021,10/10/2021,3,3460,490,8,424.5
2021,10,12/10/2021,14/10/2021,3,3220,360,8,110.5
2021,12,20/12/2021,21/12/2021,2,1500,140,1,19.5
2022,6,29/6/2022,3/7/2022,5,5670,310,8,115
2022,8,3/8/2022,4/8/2022,2,990,80,1,68
2022,8,9/8/2022,10/8/2022,2,2320,400,3,165.5
2022,8,23/8/2022,25/8/2022,3,2580,190,8,69
2022,10,16/10/2022,18/10/2022,3,2540,380,3,10.5
2022,10,30/10/2022,3/11/2022,5,4810,40,8,74.5
2023,7,15/7/2023,18/7/2023,4,4560,,8,121
2023,7,26/7/2023,28/7/2023,3,2400,,1,0
2023,8,30/8/2023,2/9/2023,4,4680,,10,159.5
2023,9,4/9/2023,5/9/2023,2,2460,,1,0
2023,10,4/10/2023,9/10/2023,6,6880,,9,243
